Machine Module SVA1075X
Trace Name,Trace A
Meas Type,S11
Start Frequency,+1.000000000E+05
Stop Frequency,+7.499900000E+09
2.512533e+09,-5.213972e-05, 5.018609e-04
2.550032e+09,-1.015103e-03, 1.078825e-03
2.587531e+09,2.563942e-03, -1.471951e-03
2.625030e+09,1.584562e-05, 2.087908e-05
2.662529e+09,4.157782e-03, -2.475423e-04
2.700028e+09,3.801406e-03, 6.342795e-04
2.737527e+09,-4.075401e-03, -1.838848e-03
2.775026e+09,-8.885636e-04, -1.010188e-03
2.812525e+09,1.028805e-03, 1.036466e-03
2.850024e+09,4.100646e-04, 5.648380e-04
2.887523e+09,2.276153e-04, 1.155011e-03
2.925022e+09,1.754587e-04, 3.900493e-04
2.962521e+09,4.129994e-04, -8.136145e-04
3.000020e+09,-8.860053e-04, 1.601965e-03
3.037519e+09,1.112548e-03, -3.530400e-04
3.075018e+09,3.911926e-03, -1.703549e-03
3.112517e+09,-4.532701e-03, 1.321763e-03
3.150016e+09,1.052450e-03, 2.818515e-04
3.187515e+09,-5.019626e-03, -1.105357e-03
3.225014e+09,1.106509e-04, -2.904082e-04
3.262513e+09,2.493131e-04, 1.398108e-04
3.300012e+09,7.736360e-04, -1.178761e-04
3.337511e+09,-9.928767e-04, -4.967093e-03
3.375010e+09,3.755316e-04, -2.512607e-03
3.412509e+09,1.135132e-03, -2.111498e-03
3.450008e+09,1.371681e-03, -6.898239e-04
3.487507e+09,-2.746471e-03, 5.254493e-03
3.525006e+09,-7.964443e-04, 1.776741e-03
3.562505e+09,6.292285e-03, -2.119752e-03
3.600004e+09,2.694904e-03, 2.727857e-04
3.637503e+09,4.071080e-03, 4.397531e-04
3.675002e+09,1.261510e-04, 4.823125e-04
3.712501e+09,3.704215e-05, 3.433102e-04
3.750000e+09,9.702790e-04, 8.691739e-04
3.787499e+09,-1.359257e-03, -2.305722e-03
3.824998e+09,9.567314e-04, 3.033363e-03
3.862497e+09,5.826032e-04, 3.057742e-03
3.899996e+09,-1.284776e-04, 1.266619e-03
3.937495e+09,4.677204e-03, -8.518182e-03
3.974994e+09,-1.625880e-03, 2.714649e-03
4.012493e+09,-2.516617e-03, 2.316528e-03
4.049992e+09,4.205910e-03, -1.492203e-03
4.087491e+09,2.043526e-03, -2.874276e-05
4.124990e+09,-4.046764e-03, -8.925189e-05
4.162489e+09,7.851509e-03, 2.050671e-03
4.199988e+09,1.787510e-03, 1.211595e-03
4.237487e+09,1.728281e-03, 1.130138e-03
4.274986e+09,1.611311e-03, 1.752012e-03
4.312485e+09,5.250593e-05, -1.166220e-03
4.349984e+09,3.526153e-04, 4.516327e-04
4.387483e+09,4.134073e-04, 2.598509e-04
4.424982e+09,7.079884e-04, -2.660521e-04
4.462481e+09,-1.425392e-03, 2.875119e-03
4.499980e+09,1.567266e-03, -1.219504e-03
4.537479e+09,2.124737e-03, -1.064464e-03
4.574978e+09,2.189985e-04, 2.346979e-05
4.612477e+09,4.808496e-04, 3.551026e-04
4.649976e+09,2.140947e-03, 4.724937e-04
4.687475e+09,-5.499761e-03, -2.867459e-03
4.724974e+09,-5.055189e-03, -4.457086e-03
4.762473e+09,-1.043294e-03, -1.444916e-03
4.799972e+09,-1.015445e-03, -1.789812e-03
4.837471e+09,-4.021232e-04, -2.840089e-03
4.874970e+09,-7.924358e-04, 2.023134e-03
4.912469e+09,1.799887e-03, -5.587333e-03
4.949968e+09,-3.018730e-03, 2.545271e-03
4.987467e+09,-2.282113e-04, -7.309496e-04
5.024966e+09,2.983424e-03, -2.173589e-03
5.062465e+09,6.359377e-03, -2.327855e-03
5.099964e+09,3.591882e-04, -4.873562e-04
5.137463e+09,-3.389185e-04, -1.489369e-05
5.174962e+09,5.625529e-03, 2.712131e-03
5.212461e+09,6.642633e-04, 7.675989e-04
5.249960e+09,-1.171161e-03, -1.099809e-03
5.287459e+09,9.992234e-04, 3.663484e-03
5.324958e+09,-2.023642e-04, 3.771670e-03
5.362457e+09,8.328490e-06, -1.325137e-03
5.399956e+09,6.945782e-04, -3.091221e-03
5.437455e+09,-6.190876e-04, 6.057889e-04
5.474954e+09,-4.924229e-04, -5.365671e-05
5.512453e+09,-2.891945e-03, 1.140467e-03
5.549952e+09,-8.195848e-04, -6.818238e-05
5.587451e+09,2.041370e-04, -2.685420e-04
5.624950e+09,-5.230141e-03, -1.286750e-03
5.662449e+09,-2.664400e-03, -1.262912e-03
5.699948e+09,-5.569952e-04, -6.713877e-04
5.737447e+09,-8.904098e-04, -7.519510e-04
5.774946e+09,-1.439233e-03, -2.132647e-03
5.812445e+09,-8.910670e-04, -1.378002e-03
5.849944e+09,-1.259764e-03, 2.132480e-03
5.887443e+09,-2.115547e-04, -3.028150e-03
5.924942e+09,-1.182342e-03, 3.283285e-04
5.962441e+09,3.178454e-04, -1.846646e-03
5.999940e+09,1.383923e-03, -1.800318e-03
6.037439e+09,4.139879e-04, -1.040141e-03
6.074938e+09,-5.421452e-03, -5.527909e-04
6.112437e+09,2.194156e-03, 5.502821e-04
6.149936e+09,-2.365450e-03, -1.388741e-03
6.187435e+09,-2.541458e-03, -2.507822e-03
6.224934e+09,-2.331769e-03, -2.877636e-03
6.262433e+09,-1.010660e-03, -5.035560e-04
6.299932e+09,-1.135847e-03, -1.602692e-04
6.337431e+09,-6.851021e-04, -9.872474e-04
6.374930e+09,-2.704647e-03, 2.088354e-03
6.412429e+09,-2.240426e-03, 1.029708e-03
6.449928e+09,-4.838929e-03, 1.846519e-03
6.487427e+09,1.726627e-03, -7.205994e-04
6.524926e+09,-1.625651e-03, -3.207374e-04
6.562425e+09,-2.313489e-03, -3.335449e-04
6.599924e+09,-4.695111e-03, -1.790347e-03
6.637423e+09,-8.506019e-04, 3.310601e-04
6.674922e+09,-2.262002e-04, 8.544031e-04
6.712421e+09,6.953223e-04, 4.593978e-03
6.749920e+09,-1.556119e-03, -4.527010e-03
6.787419e+09,-1.016828e-03, 3.043823e-03
6.824918e+09,-2.920161e-03, 5.476195e-03
6.862417e+09,8.281254e-04, -2.141995e-03
6.899916e+09,3.437152e-04, -9.077107e-04
6.937415e+09,-5.515779e-03, 2.830345e-03
6.974914e+09,-3.675013e-03, 1.039417e-03
7.012413e+09,3.272314e-03, 4.447035e-04
7.049912e+09,4.997181e-06, 3.161186e-04
7.087411e+09,1.090765e-04, 4.969760e-04
7.124910e+09,2.329105e-03, 3.126812e-03
7.162409e+09,-1.103233e-03, -5.312009e-04
7.199908e+09,-2.013814e-03, -4.146274e-03
7.237407e+09,-3.241593e-04, 2.796722e-03
7.274906e+09,-9.878470e-04, 4.141289e-03
7.312405e+09,1.294645e-03, -3.258318e-03
7.349904e+09,-2.065880e-03, 2.588997e-03
7.387403e+09,2.676491e-03, -1.979197e-03
7.424902e+09,-7.060477e-03, 3.444202e-03
7.462401e+09,1.736637e-03, 3.091680e-04
7.499900e+09,-5.611598e-03, 3.359382e-04
